ID,Name,EWG_ID,EWG,ScoreMin,ScoreMax,Description,Cancer,Allergies,Toxicity,Restriction
I_19,BUTYLENE GLYCOL,700861,1,1,1,Butylene glycol (1.3-Butanediol) is a small organic alcohol used as solvent and conditioning agent.,LOW,LOW,LOW,LOW
I_20,LIMONENE,702113,4_6,4,6,"Limonene is a scent ingredient and solvent naturally ocurring in the rind of citrus fruit. Upon storage and exposure to sunlight and air, limonene degrades to various oxidation products which act as skin and respiratory irritants and sensitizers.",LOW,HIGH,LOW,MODERATE
I_21,LINALOOL,703568,3,3,3,Linalool is a terpene.,LOW,HIGH,LOW,LOW
I_22,COCOS NUCIFERA (COCONUT) OIL,701566,1,1,1,"Coconut oil is extracted from the kernels of the seeds of coconot palm, Cocos nucifera.",LOW,LOW,LOW,LOW
I_23,POTASSIUM SORBATE,705225,2,2,2,"Potassium sorbate is a potassium salt of sorbic acid, a naturally occuringantimicrobial compound; used as a preservative",LOW,MODERATE,LOW,LOW
I_24,HELIANTHUS ANNUUS (SUNFLOWER) OIL,702804,1,1,1,"Sunflower oil is extracted from the seeds of the sunflower, Helianthus annuus.",LOW,LOW,LOW,LOW
I_25,XANTHAN GUM,706998,1,1,1,"Xanthan gum is a polysaccharide, a sugar-based polymer produced by bacteria; it is used as a viscosity agent in personal care products and foods.",LOW,LOW,LOW,LOW
I_26,PANTHENOL,704436,1,1,1,"Panthenol is a form of vitamin B5, used as a moisturizer and lubricating compound. This ingredient is listed in the PETA's Caring Consumer guide as a substance that can be of either animal or plant origin.",LOW,LOW,LOW,LOW
I_27,ALOE BARBADENSIS (ALOE VERA) LEAF JUICE,700271,1_3,1,3,"Aloe vera juice is produced from the succulent leaves of the aloe plant, Aloe barbadensis.",MODERATE,LOW,LOW,LOW
I_28,CETEARYL ALCOHOL,701236,1,1,1,Cetearyl Alcohol is a mixture of cetyl and stearyl alcohols that can come from vegetable or synthetic sources.,LOW,LOW,LOW,LOW
I_29,PROPYLENE GLYCOL,705315,3,3,3,Propylene glycol is a small organic alcohol commonly used as a skin conditioning agent. It has been associated with irritant and allergic contact dermatitis as well as contact urticaria in humans; these sensitization effects can be manifested at propylene glycol concentrations as low as 2%.,LOW,MODERATE,LOW,LOW
I_30,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,705966,1,1,1,"Jojoba oil is extracted from seeds of the desert shrub, Simmondsia chinensis, native to California, Arizona and Mexico.",LOW,LOW,LOW,LOW
I_31,CYCLOPENTASILOXANE,701741,3,3,3,Cyclopentasiloxane (cyclomethicone) is a silicon-based cyclic compound; may be associated with environmental toxicity.,LOW,LOW,LOW,LOW
I_32,SODIUM HYALURONATE,706071,1,1,1,"Sodium hyaluronate is the sodium salt of hyaluronic acid, a naturally occurring polysaccharide found in connective tissues such as cartilage. This ingredient is listed in the PETA's Caring Consumer guide as derived from animal sources.",LOW,LOW,LOW,LOW
I_33,SODIUM HYDROXIDE,706075,1_4,1,4,Sodium Hydroxide is a highly caustic and reactive inorganic base.,LOW,LOW,LOW,HIGH
I_34,CETYL ALCOHOL,701263,1,1,1,"Cetyl alcohol is a long chain organic alcohol; according to the PETA's Caring Consumer guide, this ingredient can be of either animal or plant origin.",LOW,LOW,LOW,LOW
I_35,FD&C YELLOW 5 (CI 19140) ALUMINUM LAKE,702443,4_6,4,6,"In industrial production of colorants, 'lake' is a term used for pigments or dyes that are precipitated with metal salts such as aluminum, calcium, barium, or others. Some of the lake dyes may be derived from naturally occurring plant or animal ingredients but the vast majority of lakes is synthetically produced from coal tar or petroleum.",LOW,MODERATE,LOW,LOW
I_36,COCAMIDOPROPYL BETAINE,701520,1_5,1,5,"Cocamidopropyl betaine is a surfactant; it has been associated with irritation and allergic contact dermatitis, reactions that could be due to the ingredient itself or to impurities present in it, such as 3-dimethylaminopropylamine.",LOW,MODERATE,LOW,HIGH
I_37,CI 42090 (FD&C Blue No. 1 or D&C Blue No. 4) Aluminum Lake,702409,3_8,3,8,"In industrial production of colorants, 'lake' is a term used for pigments or dyes that are precipitated with metal salts such as aluminum, calcium, barium, or others. Some of the lake dyes may be derived from naturally occurring plant or animal ingredients but the vast majority of lakes is synthetically produced from coal tar or petroleum.",MODERATE,LOW,LOW,HIGH
I_38,STEARIC ACID,706311,1,1,1,"Stearic acid is a naturally occurring fatty acid. It is listed in the PETA's Caring Consumer guide as a substance of animal origin, since stearic acid is primarily derived from rendered fat of farm and domestic animals.",LOW,LOW,LOW,LOW
I_39,BENZYL ALCOHOL,700697,4_6,4,6,Benzyl alcohol is a naturally ocurring and synthetic ingredient used as solvent and preservative; has been associated with contact allergy.,LOW,HIGH,LOW,MODERATE
I_40,BEESWAX,700643,1,1,1,"Beeswax is the purified wax from the honeycomb of the bee, Apis mellifera. This ingredient is listed in the PETA's Caring Consumer guide as a substance of animal origin.",LOW,LOW,LOW,LOW
I_41,DISTEARDIMONIUM HECTORITE,702178,1,1,1,Disteardimonium hectorite is an ingredient based on naturally occurring clay mineral hectorite; this ingredient is used as a thickening agent.,LOW,LOW,LOW,LOW
I_42,GLYCERYL MONOSTEARATE,702648,1,1,1,Glyceryl stearate is composed of naturally occuring lipid ingredients glycerol and stearic acid.,LOW,LOW,LOW,LOW
I_43,TIN OXIDE,706558,4,4,4,Tin oxide is an inorganic oxide that is naturally found in mineral form.,LOW,LOW,LOW,LOW
I_44,ISODODECANE,703179,1,1,1,Isododecane is a branched chain aliphatic hydrocarbon with 12 carbons; used as a solvent.,LOW,LOW,LOW,LOW
I_45,CI 15850 (D&C Red No. 6 or 7) Aluminum Lake,701822,1_6,1,6,"In industrial production of colorants, the term 'lake' is applied to pigments or dyes that are precipitated with metal salts such as aluminum, calcium, barium, or others. Most lake pigments are synthetically produced from coal tar or petroleum.",LOW,LOW,LOW,LOW
I_46,TALC,706427,5_8,5,8,"Talc is a powdered native, hydrous magnesium silicate sometimes containing a small portion of aluminum silicate. Talc can be contaminated with asbestos fibers, posing risks for respiratory toxicity and cancer. Studies by the National Toxicology Panel demonstrated that cosmetic-grade talc free of asbestos is a form of magnesium silicate that also can be toxic and carcinogenic.",HIGH,LOW,LOW,HIGH
I_47,CASTOR OIL,701158,2,2,2,"Castor Oil is extracted from the seeds of Ricinus communis, a castor oil plant.",LOW,LOW,MODERATE,LOW
I_48,ETHYLHEXYL PALMITATE,702348,1,1,1,Ethylhexyl Palmitate is an ester of 2-ethylhexyl alcohol and palmitic acid.,LOW,LOW,LOW,LOW
I_49,CARBOMER,701088,1,1,1,Carbomer is a large polymeric chemical composed of acrylic acid monomers.,LOW,LOW,LOW,LOW
I_50,CI 15850 (D&C Red No. 6 or 7),717749,1_6,1,6,CI 15850 is classed chemically as a monoazo color.,LOW,LOW,LOW,HIGH
I_51,BHT,700741,5,5,5,Butylated hydroxytoluene (BHT) is a toluene-based ingredient used as a preservative in food and personal care products.,MODERATE,HIGH,LOW,LOW
I_52,SYNTHETIC FLUORPHLOGOPITE,706409,1,1,1,"A synthetic mineral based on fluorine, aluminum and silicate; also known as synthetic fluorine mica; used as a bulking agent.",LOW,LOW,LOW,LOW
I_53,FD&C Yellow 5 (CI 19140),702442,4_6,4,6,"FD&C Yellow 5 is a synthetic dye produced from petroleum; this dye is FDA-approved for use in food, pharmaceuticals and cosmetics.",LOW,MODERATE,LOW,LOW
I_54,TRIMETHYLSILOXYSILICATE,706697,1,1,1,Trimethylsiloxysilicate is a silicon-based polymer.,LOW,LOW,LOW,LOW
I_55,POLYETHYLENE,704981,1,1,1,"Polyethylene is a polymer of ethylene monomers; may contain potentially toxic manufacturing contaminants such as 1,4-dioxane.",LOW,LOW,LOW,LOW
I_56,COPERNICIA CERIFERA (CARNAUBA) WAX,701122,1,1,1,"Carnauba wax is extracted from the leaves of the carnauba palm, Copernicia cerifera, a plant native to Brazil.",LOW,LOW,LOW,LOW
I_57,PROPANEDIOL,723043,2,2,2,,LOW,LOW,LOW,LOW
I_58,ULTRAMARINES,706769,1_3,1,3,"Ultramarine (CI 77007 colorant) is a mineral-derived blue pigment composed of sodium, aluminum, silicate and sulfate; may be produced synthetically.",LOW,LOW,LOW,HIGH
I_59,PROPYLENE CARBONATE,705314,1,1,1,Propylene carbonate is a synthetic solvent.,LOW,LOW,LOW,LOW
I_60,MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA),703957,1,1,1,Microcrystalline wax is a hydrocarbon wax derived from petroleum.,LOW,LOW,LOW,LOW
I_61,OLEA EUROPAEA (OLIVE) OIL,704252,1,1,1,"Olive oil is extracted from the reipe fruit of olive tree, Olea europaea.",LOW,LOW,LOW,LOW
I_62,TETRASODIUM EDTA,706510,2,2,2,"EDTA (ethylenediaminetetraacetic acid) is a chelating agent, used to sequester and decrease the reactivity of metal ions that may be present in a product.",LOW,LOW,LOW,LOW
I_63,CI 42090 (FD&C Blue No. 1 or D&C Blue No. 4),702408,3_8,3,8,"FD&C Blue 1 is a synthetic dye produced from petroleum; this dye is FDA-approved for use in food, pharmaceuticals and cosmetics.",MODERATE,LOW,LOW,HIGH
I_64,CI 45410 (D&C Red No. 27 or 28) Lake,701794,5,5,5,"In industrial production of colorants, the term 'lake' is applied to pigments or dyes that are precipitated with metal salts such as aluminum, calcium, barium, or others. Most lake pigments are synthetically produced from coal tar or petroleum.",LOW,LOW,LOW,HIGH
I_65,POLYSORBATE-20,705137,1_3,1,3,Polysorbate 20 (Tween 20) is a surfactant and emulsifier used in cleaners and personal care products.,LOW,LOW,LOW,LOW
I_66,ALCOHOL DENATURED,700215,1,1,1,Denatured alcohol is a mixture of ethanol (ethyl alcohol) with a denaturing agent. Ethanol is considered broadly toxic and linked to birth defects following excessive oral ingestion. Potential risks from ethanol in personal care products are significantly smaller than the health risks posed by the consumption of alcohol.,LOW,LOW,LOW,LOW
I_67,OCTYLDODECANOL,704230,1,1,1,Octyldodecanol is a long chain fatty alcohol.,LOW,LOW,LOW,LOW
I_68,CITRONELLOL,701389,3_4,3,4,"Citronellol is a naturally ocurring scent ingredient derived from plants such as rose, geranium and lemongrass.",LOW,HIGH,LOW,MODERATE
I_69,TRIETHOXYCAPRYLYLSILANE,706643,1,1,1,Silicon-based ingredient; used as a binder.,LOW,LOW,LOW,LOW
I_70,MANGANESE VIOLET,703741,1,1,1,Manganese violet is an inorganic salt ammonium manganese pyrophosphate used as a colorant.,LOW,LOW,LOW,LOW
I_71,CARMINE,701120,1,1,1,"Carmine is a red pigment/dye derived from insects native to South America and Mexico that live as parasites on cactus plants. Used as a colorant in food, cosmetics and textiles. Has been associated with severe allergic reactions. This ingredient is listed in the PETA's Caring Consumer guide as a substance of animal origin.",LOW,LOW,LOW,LOW
I_72,EUPHORBIA CERIFERA (CANDELILLA) WAX,701042,1,1,1,"Candelilla wax is extracted from Euphorbia cerifera, a shrub native to Mexico.",LOW,LOW,LOW,LOW
I_73,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,722079,2,2,2,,LOW,LOW,LOW,LOW
I_74,"1,2-HEXANEDIOL",700001,1,1,1,,LOW,LOW,LOW,LOW
I_75,HEXYLENE GLYCOL,702849,1,1,1,Hexylene glycol is a small molecular weight surfactant.,LOW,LOW,LOW,LOW
I_76,GERANIOL,702568,3_5,3,5,Geraniol is a naturally occurring scent ingredient found in various essential oils such as rose oil and citronella oil.,LOW,HIGH,LOW,MODERATE
I_77,POLYBUTENE,722382,1,1,1,Polybutene is a polymer used as a plasticizer and viscosity agent.,LOW,LOW,LOW,LOW
I_78,MINERAL OIL,703977,1_3,1,3,Mineral Oil is a liquid mixture of hydrocarbons obtained from petroleum.,LOW,MODERATE,LOW,LOW
I_79,HEXYL CINNAMAL,702841,3,3,3,Hexyl cinnamal is a naturally occurring and synthetic scent ingredient; it is associated with allergic reactions.,LOW,HIGH,LOW,LOW
I_80,CAMELLIA SINENSIS (GREEN TEA) LEAF EXTRACT,701026,2_4,2,4,"Green tea leaf extract is produced from the tea plant, Camelia sinensis.",LOW,MODERATE,LOW,MODERATE
I_81,KAOLIN,703305,1,1,1,Kaolin is a clay minteral composed of hydrated aluminum silicate.,LOW,LOW,LOW,LOW
I_82,LECITHIN,703513,2_4,2,4,"Lecithin is a naturally ocurring lipid found in both plants and animals. According to the PETA's Caring Consumer guide, lecithin for com mercial purposes is most commonly obtain from eggs and soybeans.",LOW,MODERATE,LOW,LOW
I_83,PERSEA GRATISSIMA (AVOCADO) OIL,704777,1,1,1,"Avocado oil is extracted from the fruit of the avocado tree, Persea americana or Persea gratissima.",LOW,LOW,LOW,LOW
I_84,ARGANIA SPINOSA (ARGAN) KERNEL OIL,700501,1,1,1,"Argania Spinosa Kernel Oil is a fixed oil expressed from the kernels of the African tree, Argania spinosa.",LOW,LOW,LOW,LOW
I_85,ETHANOL,702285,1,1,1,Ethanol or ethyl alcohol is considered broadly toxic and linked to birth defects following excessive oral ingestion. Potential risks from ethanol in personal care products are significantly smaller than the health risks posed by the consumption of alcoholic beverages.,LOW,LOW,LOW,LOW
I_86,THEOBROMA CACAO (COCOA) SEED BUTTER,706517,1,1,1,"Cocoa Butter is extracted from the roasted seeds of Theobroma cacao, a tree native to the Americas.",LOW,LOW,LOW,LOW
I_87,ALUMINUM HYDROXIDE,700321,1,1,1,"Aluminum hydroxide, also known as hydrated alumina, is a form of aluminum used as a colorant.",LOW,LOW,LOW,LOW
I_88,METHYLISOTHIAZOLINONE,703935,7,7,7,Methylisothiazolinone is a widely-used preservative; has been associated with allergic reactions. Lab studies on the brain cells of mammals also suggest that methylisothiazolinone may be neurotoxic.,LOW,HIGH,LOW,HIGH
I_89,SQUALANE,706264,1,1,1,"Squalane is a naturally occuring lipid in both plants and animals. This ingredient is listed in the PETA's Caring Consumer guide as primarily derived from animals, especially shark liver oil.",LOW,LOW,LOW,LOW
I_90,FLAVOR,706782,4,4,4,Flavor is a term used by cosmetic manufacturers for substances or combination of substances added to a cosmetic product to produce or to mask a particular flavor.,LOW,LOW,LOW,LOW
I_91,ASCORBYL PALMITATE (VITAMIN C PALMITATE),700555,2,2,2,"Ascorbyl Palmitate is a compound composed of of Ascorbic Acid (Vitamin C) and palmitic acid, a naturally occurring fatty acid.",LOW,LOW,LOW,LOW
I_92,HYDROGENATED POLYISOBUTENE,702946,1,1,1,This ingredient is a synthetic polymer used as a skin conditioning agent.,LOW,LOW,LOW,LOW
I_93,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT,705656,1,1,1,Rosemary leaf extract is produced from the leaves of the Rosmarinus officinalis plant.,LOW,LOW,LOW,LOW
I_94,STEARYL ALCOHOL,706325,1,1,1,"Stearyl alcohol is a compound produced from stearic acid, a naturally occurring fatty acid.",LOW,LOW,LOW,LOW
I_95,SODIUM LAURETH SULFATE,706089,1_3,1,3,"Sodium Laureth Sulfate is and ingredient derived from ethoxylated lauryl alcohol and used as a surfactant; may be contaminated with potentially toxic manufacturing impurities such as 1,4-dioxane.",LOW,LOW,LOW,LOW
I_96,BENZYL SALICYLATE,700701,3_5,3,5,Benzyl Salicylate is an ester of benzyl alcohol and salicylic acid; this ingredient has been associated with allergies and contact dermatitis.,LOW,HIGH,LOW,MODERATE
I_97,ALLANTOIN,700244,1,1,1,Allantoin is a naturally ocurring nitrogenous compound used as a skin conditioning agent.,LOW,LOW,LOW,LOW
I_98,METHYLCHLOROISOTHIAZOLINONE,703924,6,6,6,Methylchloroisothiazolinone is a widely-used preservative; has been associated with allergic reactions.,LOW,MODERATE,LOW,HIGH
I_99,METHYLPARABEN,703937,3_4,3,4,"Methylparaben is in the paraben family of preservatives used by the food, pharmaceutical, and personal care product industries. Parabens mimic estrogen and can act as potential hormone (endocrine) system disruptors.",LOW,MODERATE,LOW,LOW
I_100,CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT,701294,2,2,2,Extract of the camomile (Chamomilla Recutita) flowers.,LOW,LOW,LOW,LOW
I_101,ALOE BARBADENSIS (ALOE VERA) LEAF EXTRACT,700273,1_3,1,3,"Aloe vera leaf extract is produced from the succulent leaves of the aloe plant, Aloe barbadensis",MODERATE,LOW,LOW,LOW
I_102,SYNTHETIC WAX,706414,1,1,1,Synthetic wax is a hydrocarbon wax produced from fossil fuel materials such as natural gas.,LOW,LOW,LOW,LOW
I_103,TITANIUM DIOXIDE (sunscreen grade),726566,2_8,2,8,"Titanium dioxide has a long history of use as a sunscreen agent. Nano TiO2 offers greater sun protection than larger titanium particles. Comparatively little is known regarding potential health effects of nanoparticles. They do not penetrate healthy skin, and thus appear to pose a low health risk in lotions. Inhalation of powders and sprays is a concern.",MODERATE,LOW,LOW,MODERATE
I_104,CITRAL,701383,3_5,3,5,Citral is a naturally occurring scent ingredient; manufactured synthetically on a large scale; associated with allergies and contact dermatitis.,LOW,HIGH,LOW,MODERATE
I_105,ACRYLATES COPOLYMER,700123,1_2,1,2,Acrylates copolymer is composed of acrylic acid and methacrylic acid building blocks.,LOW,LOW,LOW,LOW
I_106,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL,707096,1,1,1,"Almond oil is extracted from the seed kernels of the sweet almond plant, Prunus Amygdalus Dulcis.",LOW,LOW,LOW,LOW
I_107,GLYCINE SOJA (SOYBEAN) OIL,702679,1,1,1,"Soybean oil is obtained from Glycine Soja plant; this ingredient primarily consists of triglycerides of oleic, linoleic, linolenic and saturated acids.",LOW,LOW,LOW,LOW
I_108,NYLON-12,704161,1,1,1,Nylon-12 is a type of synthetic polymer known as polyamide,LOW,LOW,LOW,LOW
I_109,NIACINAMIDE,704134,1,1,1,"Niacinamide is a form of vitamin B3(niacin), a water-soluble vitamin; used in cosmetics and personal care products as a conditioning agent.",LOW,LOW,LOW,LOW
I_110,CETYL PEG/ PPG-10/ 1 DIMETHICONE,701277,3,3,3,"This skin conditioning agent is a synthetic chemical consisting of dimethicone, a silicon-based polymer and polyethylene glycol (PEG)-polypropylene glycol (PPG) polymer. May be contaminated with potentially toxic manufacturing impurities such as 1,4-dioxane.",LOW,LOW,LOW,LOW
I_111,SODIUM CITRATE,706027,1,1,1,"Cosmetic manufacturers use sodium citrate to adjust the acidity of a product. Citrate, in the form of citric acid, is also found in citric fruits and juices.",LOW,LOW,LOW,LOW
I_112,PHENYL TRIMETHICONE,704817,1,1,1,Phenyl trimethicone is a silicon-based polymer.,LOW,LOW,LOW,LOW
I_113,ALUMINA,700309,3_7,3,7,Alumina is the name used for inorganic compound aluminium oxide.,LOW,HIGH,LOW,LOW
I_114,BISMUTH OXYCHLORIDE,700778,1,1,1,Bismuth oxychloride is a naturally ocurring mineral used as a makeup colorant that provides an iridescent (shiny) effect.,LOW,LOW,LOW,LOW
I_115,LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL,703475,2,2,2,"A volatile oil obtained from Lavendula officinalis, a common medicinal plant; can act as an allergen.",LOW,LOW,LOW,LOW
I_116,COUMARIN,701686,4_5,4,5,Coumarin is a naturally occurring and synthetically produced scent chemical; associated with allergies and contact dermatitis.,LOW,HIGH,LOW,MODERATE
I_117,GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,702759,1,1,1,Guar Hydroxypropyltrimonium Chloride is a quaternary ammonium derivative of guar gum; used in hair conditioning products.,LOW,LOW,LOW,LOW
I_118,PENTYLENE GLYCOL,704753,1,1,1,"Pentylene glycol is a synthetic, low molecular weight solvent and skin-conditioning agent.",LOW,LOW,LOW,LOW
I_119,D&C Red No. 33 (CI 17200),701803,2_5,2,5,D&C Red 33 is a synthetic dye produced from petroleum or coal tar sources; this dye is FDA-approved for use in pharmaceuticals and cosmetics.,MODERATE,LOW,LOW,HIGH
I_120,BORON NITRIDE,700802,1,1,1,Boron nitride is a synthetic boron-based inorganic compound used in cosmetics and personal care products to increase adherence and act as oil absorbent.,LOW,LOW,LOW,LOW
I_121,BIS-DIGLYCERYL POLYACYLADIPATE-2,700758,1,1,1,This ingredient is a lipid-based synthetic skin-conditioning agent.,LOW,LOW,LOW,LOW
I_122,PETROLATUM,704786,2_5,2,5,Petrolatum is a semisolid mixture of hydrocarbons obtained from petroleum.,LOW,LOW,LOW,HIGH
I_123,SILICA DIMETHYL SILYLATE,705914,1,1,1,Silica dimethyl silylate is a silica-based synthetic derivative.,LOW,LOW,LOW,LOW
I_124,CHLORPHENESIN,701327,4,4,4,Chlorphenesin is a synthetic preservative.,LOW,MODERATE,LOW,MODERATE
I_125,DIISOSTEARYL MALATE,702002,1,1,1,Diisostearyl Malate is a diester of Isostearyl Alcohol (q.v.) and Malic Acid (q.v.).,LOW,LOW,LOW,LOW
I_126,ISOPROPYL ALCOHOL,703198,2,2,2,Isopropyl alcohol is a common solvent.,LOW,LOW,LOW,LOW
I_127,BENZYL BENZOATE,700698,4_5,4,5,Benzyl benzoate is used as solvent and preservative; associated with allergies and contact dermatitis.,LOW,HIGH,LOW,MODERATE
I_128,SODIUM DEHYDROACETATE,706054,1,1,1,Sodium dehydroacetate is an antimicrobial ingredient used as preservative.,LOW,LOW,LOW,LOW
I_129,OZOKERITE,704381,1,1,1,Ozokerite is a hydrocarbon wax derived from mineral sources or from petroleum.,LOW,LOW,LOW,LOW
I_130,CETRIMONIUM CHLORIDE,701258,7,7,7,Cetrimonium chloride is a quaternary ammonium compound used as a preservative.,LOW,HIGH,LOW,HIGH
I_131,PROPYLPARABEN,705335,9,9,9,"Propylparaben is in the paraben family of preservatives used by the food, pharmaceutical, and personal care product industries. Parabens mimic estrogen and can act as potential hormone (endocrine) system disruptors.",LOW,MODERATE,MODERATE,MODERATE
I_132,HYDROXYETHYLCELLULOSE,703059,1,1,1,Hydroxyethylcellulose is a modified cellulose polymer; used as a gelling and thickening agent.,LOW,LOW,LOW,LOW
I_133,CALCIUM SODIUM BOROSILICATE,700975,2,2,2,Calcium sodium borosilicate is a glass-type material used as a bulking agent.,LOW,LOW,LOW,LOW
I_134,SORBITOL,706239,1,1,1,Sorbitol (glucitol) is a type of sugar alcohol used as a thickener and a skin conditioning agent.,LOW,LOW,LOW,LOW
I_135,FD&C Yellow No. 6 (CI 15985) Aluminum Lake,702445,3_7,3,7,"In industrial production of colorants, the term 'lake' is applied to pigments or dyes that are precipitated with metal salts such as aluminum, calcium, barium, or others. Most lake pigments are synthetically produced from coal tar or petroleum.",LOW,MODERATE,LOW,HIGH
I_136,BEHENTRIMONIUM CHLORIDE,700657,7,7,7,Behentrimonium chloride is a quaternary ammonium salt used as a preservative.,LOW,HIGH,LOW,HIGH
I_137,BENZOIC ACID,700679,1_3,1,3,Benzoic acid is a naturally occurring and synthetically produced substance; it is used in food and cosmetics as a preservative.,LOW,LOW,LOW,MODERATE
I_138,MAGNESIUM SULFATE,703709,1,1,1,Magnesium sulfate (Epson salt) is an inorganic salt; found in sea water and in mineral deposits.,LOW,LOW,LOW,LOW
I_139,ZINC STEARATE,707076,2,2,2,"Zinc Stearate is a zinc salt of stearic acid, a naturally occurring fatty acid.",LOW,LOW,LOW,LOW
I_140,DIPROPYLENE GLYCOL,702123,1_2,1,2,Dipropylene glycol is a small molecular weight synthetic solvent.,LOW,LOW,LOW,LOW
I_141,DIMETHICONE/ VINYL DIMETHICONE CROSSPOLYMER,702043,1,1,1,Dimethicone/Vinyl Dimethicone Crosspolymer is a copolymer of dimethylpolysiloxanecrosslinked with vinyl dimethylpolysiloxane.,LOW,LOW,LOW,LOW
I_142,LACTIC ACID,703350,1_5,1,5,"Lactic acid is an alpha hydroxy acid; naturally produced in the process of bacterial fermentation, for example milk fermentation. Lactic acid is frequently used as an exfoliant and in anti-wrinkle products.",LOW,LOW,LOW,HIGH
I_143,FERRIC FERROCYANIDE,702454,1_4,1,4,Ferric ferrocyanide is an iron-based inorganic colorant also known as Prussian blue; one of the first synthetic pigments.,LOW,LOW,LOW,HIGH
I_144,ISOPROPYL MYRISTATE,703206,1,1,1,"Isopropyl Myristate is composed of of isopropyl alcohol and myristic acid, a common, naturally occurring fatty acid.",LOW,LOW,LOW,LOW
